"","SampleID","Date","Month","Year","Individual","SampleType","NumberReads","Unit","AgeYear","AgeMonth","AgeMonth_cat","Weaned","Sex","Parity","MomRank","MomRank_cat","Season","Rain30","Rain30_cat","MinT30","MinT30_cat","ReproState","Mother","MatchedMomSample"
"LID_103328","LID_103328",2018-07-02,"7","2018","F72","Adult female",156575,"V",13.38630137,160.196721311475,">18",NA,"Female","Multiparous",NA,NA,"ColdWet",296.8,"Wet",8.636,"Cold","Pregnant",NA,NA
"LID_103329","LID_103329",2018-07-02,"7","2018","F3","Adult female",996533,"A",8.4,100.524590163934,">18","No","Female","Multiparous",0.5,"Med","ColdWet",296.8,"Wet",8.636,"Cold","L1",NA,NA
"LID_103331","LID_103331",2018-07-03,"7","2018","F32","Adult female",171736,"G",5.057534247,60.5245901639344,">18",NA,"Female",NA,NA,NA,"ColdWet",280.8,"Wet",8.630769231,"Cold","Cycling",NA,NA
"LID_103332","LID_103332",2018-07-05,"7","2018","F47","Adult female",189776,"M2",15.67671233,187.606557377049,">18","No","Female","Multiparous",1,"High","ColdWet",321.3,"Wet",8.453846154,"Cold","L1",NA,NA
"LID_103333","LID_103333",2018-07-05,"7","2018","F65","Adult female",106280,"T2",14.76986301,176.754098360656,">18",NA,"Female",NA,NA,NA,"ColdWet",321.3,"Wet",8.453846154,"Cold",NA,NA,NA
"LID_103334","LID_103334",2018-07-09,"7","2018","F78","Adult female",155188,"Z3",11.02739726,131.967213114754,">18","No","Female","Multiparous",0.666666666666667,"Med","ColdWet",391.2,"Wet",8.316666667,"Cold","L1",NA,NA
"LID_103335","LID_103335",2018-07-09,"7","2018","F54","Adult female",151664,"N",12.86027397,153.901639344262,">18","No","Female","Multiparous",0.25,"Low","ColdWet",391.2,"Wet",8.316666667,"Cold","L2",NA,NA
"LID_103336","LID_103336",2018-07-09,"7","2018","F60","Adult female",561721,"T1",11.15890411,133.540983606557,">18",NA,"Female","Multiparous",NA,NA,"ColdWet",391.2,"Wet",8.316666667,"Cold","Pregnant",NA,NA
"LID_103337","LID_103337",2018-07-09,"7","2018","F57","Adult female",949377,"N",11.56438356,138.393442622951,">18","No","Female","Multiparous",0,"Low","ColdWet",391.2,"Wet",8.316666667,"Cold","L1",NA,NA
"LID_103338","LID_103338",2018-07-09,"7","2018","F1","Adult female",162484,"A",14.69041096,175.803278688525,">18","No","Female","Multiparous",0.5,"Med","ColdWet",391.2,"Wet",8.316666667,"Cold","L2",NA,NA
"LID_103339","LID_103339",2018-07-09,"7","2018","F56","Adult female",807421,"N",10.07123288,120.524590163934,">18",NA,"Female",NA,NA,NA,"ColdWet",391.2,"Wet",8.316666667,"Cold","Cycling",NA,NA
"LID_103340","LID_103340",2018-07-09,"7","2018","F61","Adult female",845810,"T1",5.202739726,62.2622950819672,">18",NA,"Female",NA,NA,NA,"ColdWet",391.2,"Wet",8.316666667,"Cold",NA,NA,NA
"LID_103352","LID_103352",2017-11-24,"11","2017","F51","Adult female",55793,"M2",15.09589041,180.655737704918,">18","No","Female","Multiparous",0,"Low","ColdDry",43.6,"Dry",7.412903226,"Cold","L1",NA,NA
"LID_103356","LID_103356",2017-11-29,"11","2017","F73","Adult female",144485,"V",10.00273973,119.704918032787,">18",NA,"Female",NA,NA,NA,"ColdDry",27.2,"Dry",7.279310345,"Cold","Pregnant",NA,NA
"LID_103358","LID_103358",2017-11-29,"11","2017","F75","Adult female",34152,"V",18.83835616,225.44262295082,">18",NA,"Female","Multiparous",NA,NA,"ColdDry",27.2,"Dry",7.279310345,"Cold","Pregnant",NA,NA
"LID_103374","LID_103374",2018-08-24,"8","2018","F83","Adult female",244050,"Z5",6.216438356,74.3934426229508,">18","No","Female","Primiparous",0,"Low","ColdWet",457,"Wet",8.036,"Cold","L1",NA,NA
"LID_103398","LID_103398",2018-08-24,"8","2018","F76","Adult female",69472,"Z5",27.23287671,325.901639344262,">18",NA,"Female",NA,NA,NA,"ColdWet",457,"Wet",8.036,"Cold","Cycling",NA,NA
"LID_103421","LID_103421",2018-05-03,"5","2018","F75","Adult female",137790,"V",19.2630137,230.524590163934,">18","No","Female","Multiparous",0.4,"Med","HotDry",38.3,"Dry",9.25483871,"Hot","L1",NA,NA
"LID_103427","LID_103427",2018-08-25,"8","2018","F80","Adult female",157699,"Z5",7.863013699,94.0983606557377,">18",NA,"Female",NA,NA,NA,"ColdWet",451,"Wet",8.024,"Cold","Cycling",NA,NA
"LID_103428","LID_103428",2018-09-03,"9","2018","F19","Adult female",241158,"C5",13.22739726,158.295081967213,">18",NA,"Female","Multiparous",NA,NA,"ColdWet",453.3,"Wet",8.003571429,"Cold","Pregnant",NA,NA
"LID_103430","LID_103430",2018-09-06,"9","2018","F25","Adult female",193345,"D2",21.36438356,255.672131147541,">18",NA,"Female",NA,NA,NA,"ColdWet",445,"Wet",8.014285714,"Cold",NA,NA,NA
"LID_103495","LID_103495",2018-03-24,"3","2018","F56","Adult female",204016,"N",9.778082192,117.016393442623,">18","No","Female","Multiparous",0.75,"High","HotDry",3,"Dry",8.176923077,"Hot","L1",NA,NA
"LID_103498","LID_103498",2018-03-26,"3","2018","F56","Adult female",173894,"N",9.783561644,117.081967213115,">18","No","Female","Multiparous",0.75,"High","HotDry",3,"Dry",8.22962963,"Hot","L1",NA,NA
"LID_103510","LID_103510",2018-03-30,"3","2018","F78","Adult female",213137,"Z3",10.75068493,128.655737704918,">18","No","Female","Multiparous",0.666666666666667,"Med","HotDry",9.8,"Dry",8.227586207,"Hot","L1",NA,NA
"LID_103512","LID_103512",2018-05-01,"5","2018","F24","Adult female",214361,"D",8.539726027,102.196721311475,">18",NA,"Female",NA,NA,NA,"HotDry",51.1,"Dry",9.058064516,"Hot","Cycling",NA,NA
"LID_103513","LID_103513",2018-05-01,"5","2018","F25","Adult female",170636,"D",21.01369863,251.475409836066,">18",NA,"Female",NA,NA,NA,"HotDry",51.1,"Dry",9.058064516,"Hot","Cycling",NA,NA
"LID_103517","LID_103517",2018-05-02,"5","2018","F43","Adult female",118105,"M2",20.69863014,247.704918032787,">18","No","Female","Multiparous",0.75,"High","HotDry",41.3,"Dry",9.148387097,"Hot","L2",NA,NA
