"","SampleID","Date","Month","Year","Individual","SampleType","NumberReads","Unit","AgeYear","AgeMonth","AgeMonth_cat","Weaned","Sex","Parity","MomRank","MomRank_cat","Season","Rain30","Rain30_cat","MinT30","MinT30_cat","ReproState","Mother","MatchedMomSample"
"LID_100039","LID_100039",2016-04-06,"4","2016","M61","Infant",546557,"D",0.109589041,1.31147540983607,"0-3","No","Male","Primiparous",0.833333333333333,"High","HotDry",64.4,"Dry",10.76551724,"Hot",NA,"F31",NA
"LID_100080","LID_100080",2015-05-14,"5","2015","F32","Infant",1295594,"G",1.917808219,22.9508196721311,">18","Yes","Female","Primiparous",0.25,"Low","HotDry",146.3,"Dry",9.755555556,"Hot",NA,"F33",NA
"LID_100105","LID_100105",2015-04-01,"4","2015","F104","Infant",757738,"M1",0.578082192,6.91803278688525,"6-9","No","Female","Multiparous",1,"High","HotDry",49.1,"Dry",9.568,"Hot",NA,"F45",NA
"LID_100125","LID_100125",2015-05-18,"5","2015","F122","Infant",938212,"N",0.202739726,2.42622950819672,"0-3","No","Female","Multiparous",1,"High","HotDry",150.8,"Dry",10.004,"Hot",NA,"F55",NA
"LID_100194","LID_100194",2015-05-13,"5","2015","M50","Infant",512049,"A",1.619178082,19.3770491803279,">18","Yes","Male","Multiparous",0,"Low","HotDry",150.8,"Dry",9.681481481,"Hot",NA,"F2",NA
"LID_100225","LID_100225",2015-02-20,"2","2015","F103","Infant",312045,"K",0.249315068,2.98360655737705,"0-3","No","Female","Multiparous",0,"Low","HotDry",2,"Dry",8.475,"Cold",NA,"F40",NA
"LID_100229","LID_100229",2016-02-22,"2","2016","F95","Infant",653688,"D",0.161643836,1.9344262295082,"0-3","No","Female","Multiparous",0,"Low","HotDry",0,"Dry",8.182142857,"Cold",NA,"F28","LID_103100"
"LID_100551","LID_100551",2015-04-03,"4","2015","M77","Infant",1011686,"T",1.638356164,19.6065573770492,">18","No","Male","Multiparous",0.5,"Med","HotDry",49.1,"Dry",9.72,"Hot",NA,"F85",NA
"LID_101556","LID_101556",2018-08-01,"8","2018","M68","Infant",1265284,"M1",0.893150685,10.6885245901639,"9-12","No","Male","Multiparous",0.857142857142857,"High","ColdWet",473.4,"Wet",8.112,"Cold",NA,"F45",NA
"LID_101558","LID_101558",2018-08-02,"8","2018","F91","Infant",473224,"C5",2.265753425,27.1147540983607,">18","Yes","Female","Multiparous",0.6,"Med","ColdWet",482.9,"Wet",8.112,"Cold",NA,"F19","LID_101557"
"LID_101560","LID_101560",2018-08-01,"8","2018","F100","Infant",298896,"K",1.805479452,21.6065573770492,">18","Yes","Female","Multiparous",0.5,"Med","ColdWet",473.4,"Wet",8.112,"Cold",NA,"F40","LID_101559"
"LID_101562","LID_101562",2018-07-14,"7","2018","M84","Infant",332165,"V",0.520547945,6.22950819672131,"6-9","No","Male","Multiparous",0.4,"Med","ColdWet",430.2,"Wet",8.16,"Cold",NA,"F75","LID_101561"
"LID_101564","LID_101564",2018-07-03,"7","2018","F96","Infant",971732,"D",2.353424658,28.1639344262295,">18","Yes","Female","Primiparous",0,"Low","ColdWet",280.8,"Wet",8.630769231,"Cold",NA,"F30","LID_101563"
"LID_101566","LID_101566",2018-07-03,"7","2018","F93","Infant",1084878,"C3",2.320547945,27.7704918032787,">18","Yes","Female","Primiparous",0.5,"Med","ColdWet",280.8,"Wet",8.630769231,"Cold",NA,"F21","LID_101565"
"LID_101569","LID_101569",2018-06-11,"6","2018","M52","Infant",52676,"C5",0.101369863,1.21311475409836,"0-3","No","Male","Multiparous",1,"High","ColdWet",205.8,"Dry",9.708695652,"Hot",NA,"F22","LID_102237"
"LID_101570","LID_101570",2018-06-16,"6","2018","F117","Infant",522479,"M2",1.369863014,16.3934426229508,"15-18","No","Female","Multiparous",0.75,"High","ColdWet",265.9,"Dry",9.233333333,"Hot",NA,"F43",NA
"LID_101571","LID_101571",2018-06-05,"6","2018","F110","Infant",721922,"M1",2.276712329,27.2459016393443,">18","Yes","Female","Primiparous",0.857142857142857,"High","ColdWet",195.7,"Dry",10.01153846,"Hot",NA,"F42","LID_102239"
"LID_101573","LID_101573",2018-06-02,"6","2018","F95","Infant",687887,"D",2.438356164,29.1803278688525,">18","Yes","Female","Multiparous",0,"Low","ColdWet",191.7,"Dry",10.03076923,"Hot",NA,"F28","LID_102241"
"LID_101575","LID_101575",2018-05-24,"5","2018","M72","Infant",244904,"M2",0.287671233,3.44262295081967,"3-6","No","Male","Primiparous",0.25,"Low","HotDry",94,"Dry",10.19642857,"Hot",NA,"F46","LID_102243"
"LID_101577","LID_101577",2018-06-01,"6","2018","F92","Infant",570022,"C3",1.167123288,13.9672131147541,"12-15","No","Female","Multiparous",1,"High","ColdWet",174.2,"Dry",10.12592593,"Hot",NA,"F18","LID_102245"
"LID_101581","LID_101581",2018-05-01,"5","2018","F95","Infant",127301,"D",2.350684932,28.1311475409836,">18","Yes","Female","Multiparous",0,"Low","HotDry",51.1,"Dry",9.058064516,"Hot",NA,"F28","LID_102249"
"LID_101584","LID_101584",2018-05-02,"5","2018","F109","Infant",269938,"M2",1.306849315,15.6393442622951,"15-18","No","Female","Multiparous",0,"Low","HotDry",41.3,"Dry",9.148387097,"Hot",NA,"F51","LID_101583"
"LID_101587","LID_101587",2018-03-02,"3","2018","M83","Infant",565226,"V",2.698630137,32.2950819672131,">18","Yes","Male","Primiparous",0.5,"Med","HotDry",2.2,"Dry",8.085185185,"Cold",NA,"F73","LID_103267"
"LID_101590","LID_101590",2018-02-16,"2","2018","F92","Infant",400386,"C3",0.879452055,10.5245901639344,"9-12","No","Female","Multiparous",1,"High","HotDry",0,"Dry",7.603703704,"Cold",NA,"F18","LID_101589"
"LID_101591","LID_101591",2016-01-09,"1","2016","F127","Infant",532802,"V",1.252054795,14.983606557377,"12-15","No","Female","Multiparous",0.166666666666667,"Low","ColdDry",28.3,"Dry",7.106666667,"Cold",NA,"F72","LID_103068"
"LID_101592","LID_101592",2016-01-12,"1","2016","M58","Infant",151240,"D",2.62739726,31.4426229508197,">18","Yes","Male","Multiparous",0.333333333333333,"Med","ColdDry",25.4,"Dry",7.036666667,"Cold",NA,"F25",NA
"LID_101593","LID_101593",2015-11-25,"11","2015","F120","Infant",756260,"M2",1.208219178,14.4590163934426,"12-15","No","Female","Multiparous",0,"Low","ColdDry",207.7,"Dry",8.475,"Cold",NA,"F51",NA
"LID_101594","LID_101594",2015-11-25,"11","2015","M70","Infant",157004,"M2",1.210958904,14.4918032786885,"12-15","No","Male","Multiparous",0.333333333333333,"Med","ColdDry",207.7,"Dry",8.475,"Cold",NA,"F41",NA
"LID_101596","LID_101596",2017-08-15,"8","2017","M67","Infant",432254,"M1",1.556164384,18.6229508196721,">18","Yes","Male","Multiparous",1,"High","ColdWet",564.3,"Wet",8.651724138,"Cold",NA,"F45","LID_101595"
"LID_101597","LID_101597",2017-08-21,"8","2017","M83","Infant",274504,"V",2.169863014,25.9672131147541,">18","Yes","Male","Primiparous",0.5,"Med","ColdWet",570.4,"Wet",8.580645161,"Cold",NA,"F73","LID_102264"
"LID_101601","LID_101601",2017-06-29,"6","2017","F93","Infant",832983,"C3",1.309589041,15.672131147541,"15-18","No","Female","Primiparous",0.5,"Med","ColdWet",337.9,"Wet",9.2125,"Hot",NA,"F21","LID_101795"
"LID_101602","LID_101602",2017-06-23,"6","2017","F100","Infant",482431,"K",0.698630137,8.36065573770492,"6-9","No","Female","Multiparous",0.5,"Med","ColdWet",288.6,"Wet",9.5,"Hot",NA,"F40","LID_101985"
"LID_101604","LID_101604",2017-08-03,"8","2017","F91","Infant",788388,"C5",1.268493151,15.1803278688525,"15-18","No","Female","Multiparous",0.6,"Med","ColdWet",464,"Wet",9.14137931,"Hot",NA,"F19","LID_101603"
"LID_101606","LID_101606",2017-06-16,"6","2017","F95","Infant",415752,"D",1.476712329,17.672131147541,"15-18","Yes","Female","Multiparous",0,"Low","ColdWet",283.9,"Wet",9.496774194,"Hot",NA,"F28","LID_102268"
"LID_101608","LID_101608",2017-10-03,"10","2017","F96","Infant",330887,"D",1.605479452,19.2131147540984,">18","Yes","Female","Primiparous",0,"Low","ColdDry",130.6,"Dry",8.456,"Cold",NA,"F30","LID_101607"
"LID_101610","LID_101610",2017-10-06,"10","2017","F110","Infant",347560,"M1",1.61369863,19.3114754098361,">18","No","Female","Primiparous",0.857142857142857,"High","ColdDry",132.5,"Dry",8.481481481,"Cold",NA,"F42","LID_101609"
"LID_101612","LID_101612",2017-08-12,"8","2017","F115","Infant",440417,"M2",1.723287671,20.6229508196721,">18","Yes","Female","Multiparous",1,"High","ColdWet",563.8,"Wet",8.668965517,"Cold",NA,"F47","LID_102116"
"LID_101613","LID_101613",2017-06-02,"6","2017","M57","Infant",482760,"D",1.123287671,13.4426229508197,"12-15","Yes","Male","Multiparous",0,"Low","ColdWet",223.7,"Dry",9.355172414,"Hot",NA,"F25","LID_101614"
"LID_101616","LID_101616",2017-06-06,"6","2017","M55","Infant",760781,"C5",1.38630137,16.5901639344262,"15-18","Yes","Male","Multiparous",0.4,"Med","ColdWet",304.9,"Wet",9.376666667,"Hot",NA,"F16","LID_101615"
"LID_101617","LID_101617",2016-04-15,"4","2016","F88","Infant",329109,"C3",0.501369863,6,"3-6","No","Female","Multiparous",1,"High","HotDry",48.9,"Dry",10.79666667,"Hot",NA,"F18","LID_104142"
"LID_101618","LID_101618",2016-04-18,"4","2016","F129","Infant",442414,"V",1.58630137,18.983606557377,">18","Yes","Female","Multiparous",0,"Low","HotDry",46.1,"Dry",10.89333333,"Hot",NA,"F71","LID_103077"
"LID_101619","LID_101619",2016-05-19,"5","2016","F130","Infant",555212,"V",1.62739726,19.4754098360656,">18","Yes","Female","Multiparous",0.333333333333333,"Med","HotDry",230.1,"Dry",10.12333333,"Hot",NA,"F75",NA
"LID_101620","LID_101620",2016-05-23,"5","2016","F98","Infant",575162,"J1",0.55890411,6.68852459016393,"6-9","No","Female","Multiparous",1,"High","HotDry",232.3,"Dry",10.09333333,"Hot",NA,"F36",NA
"LID_101621","LID_101621",2016-07-02,"7","2016","F116","Infant",193406,"M1",2.501369863,29.9344262295082,">18","Yes","Female","Multiparous",0.714285714285714,"High","ColdWet",387.2,"Wet",9.193548387,"Hot",NA,"F50","LID_100127"
"LID_101622","LID_101622",2016-07-02,"7","2016","F104","Infant",294254,"M1",1.832876712,21.9344262295082,">18","Yes","Female","Multiparous",1,"High","ColdWet",387.2,"Wet",9.193548387,"Hot",NA,"F45",NA
"LID_101623","LID_101623",2016-02-13,"2","2016","M83","Infant",118331,"V",0.649315068,7.77049180327869,"6-9","No","Male","Primiparous",0.5,"Med","HotDry",0,"Dry",7.47,"Cold",NA,"F73","LID_104132"
"LID_101624","LID_101624",2016-02-02,"2","2016","M73","Infant",73930,"M2",1.879452055,22.4918032786885,">18","Yes","Male","Multiparous",0.666666666666667,"Med","HotDry",0,"Dry",7.203333333,"Cold",NA,"F43",NA
"LID_101630","LID_101630",2017-12-02,"12","2017","M57","Infant",331200,"D",1.624657534,19.4426229508197,">18","Yes","Male","Multiparous",0,"Low","ColdDry",27.2,"Dry",7.257142857,"Cold",NA,"F25","LID_101726"
"LID_101632","LID_101632",2017-12-21,"12","2017","M66","Infant",243971,"M1",0.945205479,11.3114754098361,"9-12","No","Male","Multiparous",0,"Low","ColdDry",0,"Dry",6.304,"Cold",NA,"F48","LID_101631"
"LID_101636","LID_101636",2018-01-13,"1","2018","F109","Infant",423609,"M2",1.008219178,12.0655737704918,"12-15","No","Female","Multiparous",0,"Low","ColdDry",0,"Dry",5.896153846,"Cold",NA,"F51",NA
"LID_101637","LID_101637",2018-01-02,"1","2018","F100","Infant",447087,"K",1.22739726,14.6885245901639,"12-15","No","Female","Multiparous",0.5,"Med","ColdDry",0,"Dry",6.076923077,"Cold",NA,"F40","LID_102300"
"LID_101638","LID_101638",2018-01-02,"1","2018","F109","Infant",203285,"M2",0.978082192,11.7049180327869,"9-12","No","Female","Multiparous",0,"Low","ColdDry",0,"Dry",6.076923077,"Cold",NA,"F51","LID_102205"
"LID_101640","LID_101640",2018-01-13,"1","2018","F117","Infant",908873,"M2",0.947945205,11.344262295082,"9-12","No","Female","Multiparous",0.75,"High","ColdDry",0,"Dry",5.896153846,"Cold",NA,"F43","LID_101639"
"LID_101641","LID_101641",2016-03-22,"3","2016","M55","Infant",388627,"C5",0.178082192,2.13114754098361,"0-3","No","Male","Multiparous",0.4,"Med","HotDry",56.4,"Dry",10.42222222,"Hot",NA,"F16","LID_103040"
"LID_101642","LID_101642",2016-03-25,"3","2016","F104","Infant",528856,"M1",1.561643836,18.6885245901639,">18","Yes","Female","Multiparous",1,"High","HotDry",56.4,"Dry",10.56666667,"Hot",NA,"F45",NA
"LID_101644","LID_101644",2017-11-17,"11","2017","M68","Infant",153226,"M1",0.189041096,2.26229508196721,"0-3","No","Male","Multiparous",0.857142857142857,"High","ColdDry",151.5,"Dry",7.806666667,"Cold",NA,"F45","LID_101643"
"LID_101645","LID_101645",2018-02-09,"2","2018","F95","Infant",525855,"D",2.128767123,25.4754098360656,">18","Yes","Female","Multiparous",0,"Low","HotDry",0,"Dry",6.882142857,"Cold",NA,"F28","LID_101646"
"LID_101648","LID_101648",2018-08-08,"8","2018","F125","Infant",377562,"V",0.380821918,4.55737704918033,"3-6","No","Female","Multiparous",0.8,"High","ColdWet",492.9,"Wet",8.06,"Cold",NA,"F70","LID_101647"
"LID_101650","LID_101650",2018-09-03,"9","2018","M63","Infant",824426,"J1",2.909589041,34.8196721311475,">18","Yes","Male","Multiparous",0,"Low","ColdWet",453.3,"Wet",8.003571429,"Cold",NA,"F37","LID_101649"
"LID_101652","LID_101652",2018-08-01,"8","2018","F117","Infant",40329,"M2",1.495890411,17.9016393442623,"15-18","No","Female","Multiparous",0.75,"High","ColdWet",473.4,"Wet",8.112,"Cold",NA,"F43","LID_101651"
"LID_101654","LID_101654",2018-08-02,"8","2018","F90","Infant",146289,"C3",1.764383562,21.1147540983607,">18","No","Female","Multiparous",0,"Low","ColdWet",482.9,"Wet",8.112,"Cold",NA,"F20","LID_101653"
"LID_101656","LID_101656",2018-07-17,"7","2018","F125","Infant",181143,"V",0.320547945,3.83606557377049,"3-6","No","Female","Multiparous",0.8,"High","ColdWet",466.6,"Wet",8.084,"Cold",NA,"F70","LID_101655"
"LID_101658","LID_101658",2018-07-04,"7","2018","M63","Infant",284866,"J1",2.742465753,32.8196721311475,">18","Yes","Male","Multiparous",0,"Low","ColdWet",288.3,"Wet",8.542307692,"Cold",NA,"F37","LID_101657"
"LID_101660","LID_101660",2018-07-03,"7","2018","M61","Infant",545186,"D",2.350684932,28.1311475409836,">18","Yes","Male","Primiparous",0.833333333333333,"High","ColdWet",280.8,"Wet",8.630769231,"Cold",NA,"F31","LID_101659"
"LID_101662","LID_101662",2018-07-03,"7","2018","F87","Infant",69228,"C5",0.594520548,7.11475409836066,"6-9","No","Female","Multiparous",0.75,"High","ColdWet",280.8,"Wet",8.630769231,"Cold",NA,"F17","LID_101661"
"LID_101667","LID_101667",2018-06-05,"6","2018","F118","Infant",140376,"M1",1.967123288,23.5409836065574,">18","Yes","Female","Multiparous",0.571428571428571,"Med","ColdWet",195.7,"Dry",10.01153846,"Hot",NA,"F44","LID_101572"
"LID_101669","LID_101669",2018-06-02,"6","2018","M61","Infant",87237,"D",2.265753425,27.1147540983607,">18","Yes","Male","Primiparous",0.833333333333333,"High","ColdWet",191.7,"Dry",10.03076923,"Hot",NA,"F31","LID_101574"
"LID_101677","LID_101677",2018-05-01,"5","2018","M60","Infant",62648,"D",2.093150685,25.0491803278689,">18","Yes","Male","Primiparous",0.5,"Med","HotDry",51.1,"Dry",9.058064516,"Hot",NA,"F24","LID_103512"
"LID_101683","LID_101683",2018-03-01,"3","2018","M84","Infant",77989,"V",0.150684932,1.80327868852459,"0-3","No","Male","Multiparous",0.4,"Med","HotDry",2.2,"Dry",8.111111111,"Cold",NA,"F75","LID_101588"
"LID_101686","LID_101686",2018-02-17,"2","2018","M63","Infant",167434,"J1",2.367123288,28.327868852459,">18","No","Male","Multiparous",0,"Low","HotDry",1.8,"Dry",7.651851852,"Cold",NA,"F37",NA
"LID_101689","LID_101689",2015-11-25,"11","2015","M69","Infant",37717,"M2",1.832876712,21.9344262295082,">18","Yes","Male","Multiparous",1,"High","ColdDry",207.7,"Dry",8.475,"Cold",NA,"F47",NA
"LID_101690","LID_101690",2015-11-30,"11","2015","F97","Infant",96510,"G",1.460273973,17.4754098360656,"15-18","No","Female","Primiparous",0,"Low","ColdDry",177.8,"Dry",7.953571429,"Cold",NA,"F34","LID_104120"
"LID_101692","LID_101692",2017-08-15,"8","2017","F110","Infant",215500,"M1",1.471232877,17.6065573770492,"15-18","No","Female","Primiparous",0.857142857142857,"High","ColdWet",564.3,"Wet",8.651724138,"Cold",NA,"F42","LID_101691"
"LID_101693","LID_101693",2017-08-22,"8","2017","M66","Infant",229024,"M1",0.61369863,7.34426229508197,"6-9","No","Male","Multiparous",0,"Low","ColdWet",542.9,"Wet",8.564516129,"Cold",NA,"F48","LID_101598"
"LID_101696","LID_101696",2017-08-31,"8","2017","F98","Infant",43387,"J1",1.832876712,21.9344262295082,">18","No","Female","Multiparous",1,"High","ColdWet",522.7,"Wet",8.364516129,"Cold",NA,"F36","LID_101982"
"LID_101698","LID_101698",2017-07-28,"7","2017","M60","Infant",300682,"D",1.334246575,15.9672131147541,"15-18","Yes","Male","Primiparous",0.5,"Med","ColdWet",477.8,"Wet",9.37037037,"Hot",NA,"F24","LID_101888"
"LID_101700","LID_101700",2017-08-03,"8","2017","F100","Infant",322252,"K",0.810958904,9.70491803278689,"9-12","No","Female","Multiparous",0.5,"Med","ColdWet",464,"Wet",9.14137931,"Hot",NA,"F40","LID_101699"
"LID_101703","LID_101703",2017-10-03,"10","2017","M59","Infant",211409,"D",1.580821918,18.9180327868852,">18","Yes","Male","Multiparous",1,"High","ColdDry",130.6,"Dry",8.456,"Cold",NA,"F26","LID_101702"
"LID_101705","LID_101705",2017-10-06,"10","2017","M66","Infant",86115,"M1",0.736986301,8.81967213114754,"6-9","No","Male","Multiparous",0,"Low","ColdDry",132.5,"Dry",8.481481481,"Cold",NA,"F48","LID_101704"
"LID_101707","LID_101707",2017-08-31,"8","2017","M63","Infant",43343,"J1",1.901369863,22.7540983606557,">18","No","Male","Multiparous",0,"Low","ColdWet",522.7,"Wet",8.364516129,"Cold",NA,"F37","LID_101706"
"LID_101708","LID_101708",2017-06-05,"6","2017","M59","Infant",258808,"D",1.252054795,14.983606557377,"12-15","Yes","Male","Multiparous",1,"High","ColdWet",279.9,"Wet",9.382758621,"Hot",NA,"F26","LID_101709"
"LID_101711","LID_101711",2017-06-09,"6","2017","M67","Infant",73956,"M1",1.37260274,16.4262295081967,"15-18","Yes","Male","Multiparous",1,"High","ColdWet",303.6,"Wet",9.326666667,"Hot",NA,"F45","LID_101710"
"LID_101712","LID_101712",2016-05-13,"5","2016","F85","Infant",25052,"C5",2.950684932,35.3114754098361,">18","Yes","Female","Multiparous",1,"High","HotDry",213.8,"Dry",10.21333333,"Hot",NA,"F89",NA
"LID_101713","LID_101713",2016-05-13,"5","2016","M54","Infant",110696,"C5",2.630136986,31.4754098360656,">18","Yes","Male","Multiparous",0,"Low","HotDry",213.8,"Dry",10.21333333,"Hot",NA,"F17",NA
"LID_101714","LID_101714",2016-05-27,"5","2016","F91","Infant",137241,"C5",0.082191781,0.983606557377049,"0-3","No","Female","Multiparous",0.6,"Med","HotDry",250.1,"Dry",9.906666667,"Hot",NA,"F19","LID_100065"
"LID_101715","LID_101715",2016-05-31,"5","2016","M55","Infant",101045,"C5",0.369863014,4.42622950819672,"3-6","No","Male","Multiparous",0.4,"Med","HotDry",262.6,"Dry",9.816129032,"Hot",NA,"F16","LID_103093"
"LID_101717","LID_101717",2016-07-08,"7","2016","F127","Infant",167752,"V",1.747945205,20.9180327868852,">18","Yes","Female","Multiparous",0.166666666666667,"Low","ColdWet",445.8,"Wet",8.793548387,"Cold",NA,"F72",NA
"LID_101719","LID_101719",2017-12-01,"12","2017","F91","Infant",99269,"C5",1.597260274,19.1147540983607,">18","No","Female","Multiparous",0.6,"Med","ColdDry",27.2,"Dry",7.264285714,"Cold",NA,"F19","LID_101908"
"LID_101727","LID_101727",2017-12-07,"12","2017","M60","Infant",157176,"D",1.695890411,20.2950819672131,">18","Yes","Male","Primiparous",0.5,"Med","ColdDry",0,"Dry",7.230769231,"Cold",NA,"F24","LID_101820"
"LID_101738","LID_101738",2016-04-01,"4","2016","M64","Infant",306586,"K",0.473972603,5.67213114754098,"3-6","No","Male","Multiparous",1,"High","HotDry",64.4,"Dry",10.99310345,"Hot",NA,"F39","LID_100103"
"LID_101745","LID_101745",2018-08-08,"8","2018","F105","Infant",21256,"M2",0.945205479,11.3114754098361,"9-12","No","Female","Multiparous",1,"High","ColdWet",492.9,"Wet",8.06,"Cold",NA,"F47","LID_101744"
"LID_101747","LID_101747",2018-01-27,"1","2018","F87","Infant",481309,"C5",0.164383562,1.9672131147541,"0-3","No","Female","Multiparous",0.75,"High","ColdDry",0,"Dry",6.256,"Cold",NA,"F17","LID_101788"
"LID_101748","LID_101748",2018-09-03,"9","2018","F93","Infant",410401,"C3",2.490410959,29.8032786885246,">18","Yes","Female","Primiparous",0.5,"Med","ColdWet",453.3,"Wet",8.003571429,"Cold",NA,"F21","LID_101746"
"LID_101750","LID_101750",2018-08-01,"8","2018","F96","Infant",288222,"D",2.432876712,29.1147540983607,">18","Yes","Female","Primiparous",0,"Low","ColdWet",473.4,"Wet",8.112,"Cold",NA,"F30","LID_101749"
"LID_101752","LID_101752",2018-08-02,"8","2018","M55","Infant",700298,"C5",2.542465753,30.4262295081967,">18","Yes","Male","Multiparous",0.4,"Med","ColdWet",482.9,"Wet",8.112,"Cold",NA,"F16","LID_101751"
"LID_101753","LID_101753",2018-07-17,"7","2018","F101","Infant",262510,"K",0.084931507,1.01639344262295,"0-3","No","Female","Primiparous",0,"Low","ColdWet",466.6,"Wet",8.084,"Cold",NA,"F38","LID_101754"
"LID_101756","LID_101756",2018-07-05,"7","2018","F110","Infant",365587,"M1",2.35890411,28.2295081967213,">18","Yes","Female","Primiparous",0.857142857142857,"High","ColdWet",321.3,"Wet",8.453846154,"Cold",NA,"F42","LID_101755"
"LID_101760","LID_101760",2018-07-03,"7","2018","F92","Infant",784589,"C3",1.254794521,15.016393442623,"15-18","No","Female","Multiparous",1,"High","ColdWet",280.8,"Wet",8.630769231,"Cold",NA,"F18","LID_101759"
"LID_101761","LID_101761",2018-07-02,"7","2018","F124","Infant",547893,"V",0.104109589,1.24590163934426,"0-3","No","Female","Primiparous",1,"High","ColdWet",296.8,"Wet",8.636,"Cold",NA,"F74","LID_101664"
"LID_101765","LID_101765",2018-06-05,"6","2018","M68","Infant",628521,"M1",0.736986301,8.81967213114754,"6-9","No","Male","Multiparous",0.857142857142857,"High","ColdWet",195.7,"Dry",10.01153846,"Hot",NA,"F45","LID_101668"
"LID_101767","LID_101767",2018-06-02,"6","2018","M60","Infant",653000,"D",2.180821918,26.0983606557377,">18","Yes","Male","Primiparous",0.5,"Med","ColdWet",191.7,"Dry",10.03076923,"Hot",NA,"F24","LID_101670"
"LID_101768","LID_101768",2018-05-30,"5","2018","M52","Infant",792929,"C5",0.068493151,0.819672131147541,"0-3","No","Male","Multiparous",1,"High","HotDry",89.2,"Dry",10.125,"Hot",NA,"F22","LID_101672"
"LID_101774","LID_101774",2018-05-01,"5","2018","F93","Infant",655015,"C3",2.147945205,25.7049180327869,">18","Yes","Female","Primiparous",0.5,"Med","HotDry",51.1,"Dry",9.058064516,"Hot",NA,"F21","LID_101678"
"LID_101777","LID_101777",2018-05-02,"5","2018","M51","Infant",554305,"C5",1.810958904,21.672131147541,">18","Yes","Male","Primiparous",0,"Low","HotDry",41.3,"Dry",9.148387097,"Hot",NA,"F23","LID_103519"
"LID_101778","LID_101778",2018-04-10,"4","2018","M72","Infant",132467,"M2",0.167123288,2,"0-3","No","Male","Primiparous",0.25,"Low","HotDry",25.9,"Dry",8.416129032,"Cold",NA,"F46","LID_101682"
"LID_101780","LID_101780",2018-03-01,"3","2018","M60","Infant",359961,"D",1.926027397,23.0491803278689,">18","Yes","Male","Primiparous",0.5,"Med","HotDry",2.2,"Dry",8.111111111,"Cold",NA,"F24",NA
"LID_101784","LID_101784",2016-01-14,"1","2016","M73","Infant",121888,"M2",1.82739726,21.8688524590164,">18","No","Male","Multiparous",0.666666666666667,"Med","ColdDry",25.4,"Dry",7.053333333,"Cold",NA,"F43","LID_104122"
"LID_101786","LID_101786",2015-11-30,"11","2015","M74","Infant",560671,"M1",0.978082192,11.7049180327869,"9-12","No","Male","Multiparous",0.285714285714286,"Low","ColdDry",177.8,"Dry",7.953571429,"Cold",NA,"F52","LID_101880"
"LID_101787","LID_101787",2015-11-30,"11","2015","F116","Infant",303286,"M1",1.912328767,22.8852459016393,">18","No","Female","Multiparous",0.714285714285714,"High","ColdDry",177.8,"Dry",7.953571429,"Cold",NA,"F50","LID_103117"
"LID_101791","LID_101791",2017-08-15,"8","2017","F118","Infant",677499,"M1",1.161643836,13.9016393442623,"12-15","No","Female","Multiparous",0.571428571428571,"Med","ColdWet",564.3,"Wet",8.651724138,"Cold",NA,"F44","LID_101790"
"LID_101792","LID_101792",2017-08-29,"8","2017","F92","Infant",331892,"C3",0.410958904,4.91803278688525,"3-6","No","Female","Multiparous",1,"High","ColdWet",533.2,"Wet",8.435483871,"Cold",NA,"F18","LID_101694"
"LID_101797","LID_101797",2017-08-03,"8","2017","F96","Infant",655261,"D",1.438356164,17.2131147540984,"15-18","Yes","Female","Primiparous",0,"Low","ColdWet",464,"Wet",9.14137931,"Hot",NA,"F30","LID_101796"
"LID_101799","LID_101799",2017-10-03,"10","2017","M56","Infant",132390,"D",1.326027397,15.8688524590164,"15-18","Yes","Male","Multiparous",0.333333333333333,"Med","ColdDry",130.6,"Dry",8.456,"Cold",NA,"F27","LID_101798"
"LID_101801","LID_101801",2017-10-06,"10","2017","F107","Infant",192881,"M1",0.323287671,3.86885245901639,"3-6","No","Female","Multiparous",0.142857142857143,"Low","ColdDry",132.5,"Dry",8.481481481,"Cold",NA,"F52","LID_101800"
"LID_101802","LID_101802",2017-10-21,"10","2017","M56","Infant",376946,"D",1.375342466,16.4590163934426,"15-18","Yes","Male","Multiparous",0.333333333333333,"Med","ColdDry",229.6,"Dry",8.258333333,"Cold",NA,"F27","LID_101803"
"LID_101804","LID_101804",2017-06-05,"6","2017","M61","Infant",564681,"D",1.273972603,15.2459016393443,"15-18","Yes","Male","Primiparous",0.833333333333333,"High","ColdWet",279.9,"Wet",9.382758621,"Hot",NA,"F31","LID_101805"
"LID_101807","LID_101807",2017-06-09,"6","2017","F118","Infant",1487645,"M1",0.978082192,11.7049180327869,"9-12","No","Female","Multiparous",0.571428571428571,"Med","ColdWet",303.6,"Wet",9.326666667,"Hot",NA,"F44","LID_103292"
"LID_101809","LID_101809",2016-06-01,"6","2016","F95","Infant",605760,"D",0.435616438,5.21311475409836,"3-6","No","Female","Multiparous",0,"Low","ColdWet",264.8,"Dry",9.846875,"Hot",NA,"F28","LID_100069"
"LID_101810","LID_101810",2016-07-08,"7","2016","F129","Infant",394714,"V",1.808219178,21.6393442622951,">18","Yes","Female","Multiparous",0,"Low","ColdWet",445.8,"Wet",8.793548387,"Cold",NA,"F71","LID_103014"
"LID_101811","LID_101811",2016-07-13,"7","2016","M63","Infant",313791,"J1",0.767123288,9.18032786885246,"9-12","No","Male","Multiparous",0,"Low","ColdWet",481.4,"Wet",8.351612903,"Cold",NA,"F37","LID_100124"
