"","MeanRandom","X.Intercept.","ObservedPair1","Sex1Male","s.AgeMonth1.","s.Ind1.","s.Ind2.","p..Intercept.","p.ObservedPair","p.SexM","p.s.AgeMonth","p.s.Ind1","p.s.Ind2","dev.expl","NbDyads","Type"
"jd1","344.620603015075","338.630837191862","10.3014284550987","13.9333025594436","5.61553977444106","0.0662667622511111","0.00792989121971292","5.71017094549882e-283","0.147169347140957","0.0553719297143224","0","0.0585510461268099","0.595518317606313","46.4605650833548","398","NumberSharedASV"
"jd2","54.7888112237482","55.3468385855199","1.62909968959765","-1.29888683728727","4.0371104126995","0.0038613220312124","0.00628932644686026","0","0.0765083271210153","0.166446219967103","0","0.0752156404272432","0.460580166763592","24.6107819680433","398","PropSharedASV"
"jd3","0.6456641959799","0.646483905985965","-0.0181832835054229","-0.00114846173983215","4.53581465684716","3.44406041095156","0.000365568870558023","0","0.0643029189925498","0.91321430639395","0","0.0221136487522229","0.809128929462293","41.1602080066972","398","BC"
"jd4","0.56026437198874","0.562664218986328","-0.0072552590839808","-0.0045909059915115","5.82317465886306","12.71994730692","0.00120341851215192","0","0.31614369813128","0.611342767591793","0","0.000199503062848994","0.689095005011359","52.4443294705686","398","UU"
"jd5","0.0697819541699615","0.0711212817325473","-0.0015554743165649","-0.00325241823821812","4.5839742284591","6.02486338309772","0.00200240332654745","3.20473011551563e-275","0.28187671763694","0.0440473317969317","0","0.00895482311672358","0.629788361291763","20.9670583485131","398","WU"
"jd11","343.349246231156","335.167976762188","11.5724963303042","19.0417465507976","5.51121713872621","0.00929698517811557","0.00576616755514306","1.18550693070032e-272","0.113367465157596","0.0108985162199759","0","0.0863587580440273","0.189340443051385","45.3561269814174","398","NumberSharedASV"
"jd21","54.3361695685312","54.580943120769","2.0817090992252","-0.506790856335819","3.81170203108046","5.36884244466544","0.00809255699092074","5.92878775009496e-323","0.0274831131166695","0.626513627623142","0","0.0111194367408518","0.180518279869828","25.9649797415967","398","PropSharedASV"
"jd31","0.644147361809045","0.649216982754443","-0.0166664229879407","-0.0114020867989771","4.71964884556571","5.38293654625828","0.00119852627385111","0","0.0888803585149579","0.292104211769702","0","0.0110676460347203","0.154476619143119","42.6888452901829","398","BC"
"jd41","0.562217832590074","0.567410809090396","-0.00920864922580184","-0.0119195887224647","6.02754946846438","13.8054351660056","0.00150594013643437","0","0.20139350518624","0.193968977436544","0","0.000130289010504381","0.43184731702916","53.7142044714035","398","UU"
"jd51","0.0712519853841405","0.0728094143717102","-0.00302563008756603","-0.00370055673728685","5.06863660332263","2.31886014222536","0.0145120799053442","2.39227450492538e-284","0.0421171504578848","0.0186382968677792","0","0.0317938054645333","0.0905989533459082","21.0050936564018","398","WU"
"jd12","346.545226130653","336.22294765285","8.37646983178381","23.0226235644618","5.58039296925967","10.6038790541987","0.0115820229359128","9.84200806000163e-247","0.245217410375449","0.00807335788036634","0","0.000998106568994572","0.262706061408523","47.4781348766706","398","NumberSharedASV"
"jd22","54.7710494426943","54.7780716247702","1.64634333407831","0.003698424644569","3.91361729854298","7.02779754613643","0.0907419404695076","0","0.0722567738060891","0.997155393329171","0","0.00611925036601413","0.0536184330229819","25.8948505274534","398","PropSharedASV"
